models,Source->Target,AUC,P,R,F1
SM3,PC5->JM1,0.46360691,0.173628644,0.860147811,0.288933448
SM3,CM1->KC1,0.604809973,0.357615894,0.166153846,0.226890756
SM3,JM1->KC1,0.331944577,0.142937535,0.781538462,0.241674596
SM3,KC3->KC1,0.604115884,0.372759857,0.32,0.344370861
SM3,MC1->KC1,0.529606046,0,0,
SM3,MC2->KC1,0.698137515,0.360377358,0.587692308,0.446783626
SM3,MW1->KC1,0.613107762,0.52,0.12,0.195
SM3,PC1->KC1,0.554745255,0.5,0.138461538,0.21686747
SM3,PC2->KC1,0.5,,0,
SM3,PC3->KC1,0.5,,0,
SM3,PC4->KC1,0.516731095,0.15677547,0.975384615,0.270132084
SM3,PC5->KC1,0.566950441,0.353191489,0.255384615,0.296428571
SM3,CM1->KC3,0.42674458,0.212121212,0.194444444,0.202898551
SM3,JM1->KC3,0.387025745,0.161490683,0.722222222,0.263959391
SM3,KC1->KC3,0.623390921,0.24137931,0.194444444,0.215384615
SM3,MC1->KC3,0.510840108,,0,
SM3,MC2->KC3,0.526676829,0.319148936,0.416666667,0.361445783
SM3,MW1->KC3,0.586297425,0.333333333,0.055555556,0.095238095
SM3,PC1->KC3,0.475609756,0,0,
SM3,PC2->KC3,0.5,,0,
SM3,PC3->KC3,0.5,,0,
SM3,PC4->KC3,0.375084688,0.131147541,0.666666667,0.219178082
SM3,PC5->KC3,0.522442412,0.25,0.333333333,0.285714286
SM3,CM1->MC1,0.754472926,0.068389058,0.661764706,0.123966942
SM3,JM1->MC1,0.140577792,0.001616312,0.191176471,0.003205523
SM3,KC1->MC1,0.702969601,0.014529058,0.426470588,0.028100775
SM3,KC3->MC1,0.605762905,0.034834325,0.602941176,0.065863454
SM3,MC2->MC1,0.672089484,0.029320025,0.691176471,0.05625374
SM3,MW1->MC1,0.456193749,0,0,
SM3,PC1->MC1,0.648539153,0.064606742,0.338235294,0.108490566
SM3,PC2->MC1,0.5,,0,
SM3,PC3->MC1,0.5,,0,
SM3,PC4->MC1,0.31658927,0.003280609,0.411764706,0.006509357
SM3,PC5->MC1,0.692898731,0.011627907,0.088235294,0.020547945
SM3,CM1->MC2,0.509446878,0.368421053,0.159090909,0.222222222
SM3,JM1->MC2,0.435240964,0.330188679,0.795454545,0.466666667
SM3,KC1->MC2,0.5983023,0.470588235,0.181818182,0.262295082
SM3,KC3->MC2,0.464950712,0.44,0.25,0.31884058
SM3,MC1->MC2,0.534090909,,0,
SM3,MW1->MC2,0.491100767,0.333333333,0.022727273,0.042553191
SM3,PC1->MC2,0.545454545,1,0.090909091,0.166666667
SM3,PC2->MC2,0.5,,0,
SM3,PC3->MC2,0.5,,0,
SM3,PC4->MC2,0.619249726,0.358974359,0.954545455,0.52173913
SM3,PC5->MC2,0.5266977,0.375,0.068181818,0.115384615
SM3,CM1->MW1,0.57251133,0.166666667,0.148148148,0.156862745
SM3,JM1->MW1,0.358806063,0.093023256,0.740740741,0.165289256
SM3,KC1->MW1,0.623222378,0.076923077,0.074074074,0.075471698
SM3,KC3->MW1,0.630801688,0.294117647,0.37037037,0.327868852
SM3,MC1->MW1,0.5,,0,
SM3,MC2->MW1,0.637365213,0.202898551,0.518518519,0.291666667
SM3,PC1->MW1,0.534771058,0.5,0.037037037,0.068965517
SM3,PC2->MW1,0.5,,0,
SM3,PC3->MW1,0.5,,0,
SM3,PC4->MW1,0.534614784,0.10546875,1,0.190812721
SM3,PC5->MW1,0.72816065,0.264150943,0.518518519,0.35
SM3,CM1->PC1,0.55425337,0.24691358,0.327868852,0.281690141
SM3,JM1->PC1,0.342442106,0.066455696,0.68852459,0.121212121
SM3,KC1->PC1,0.673281977,0.125,0.262295082,0.169312169
SM3,KC3->PC1,0.47077129,0.12568306,0.37704918,0.18852459
SM3,MC1->PC1,0.506787543,,0,
SM3,MC2->PC1,0.515031237,0.169354839,0.344262295,0.227027027
SM3,MW1->PC1,0.500622387,0.4375,0.114754098,0.181818182
SM3,PC2->PC1,0.5,,0,
SM3,PC3->PC1,0.5,,0,
SM3,PC4->PC1,0.324263704,0.060471976,0.672131148,0.110960758
SM3,PC5->PC1,0.55380713,0.172043011,0.262295082,0.207792208
SM3,CM1->PC2,0.718112651,0.072992701,0.625,0.130718954
SM3,JM1->PC2,0.427680848,0.006701415,0.5625,0.013245033
SM3,KC1->PC2,0.811085883,0.04787234,0.5625,0.088235294
SM3,KC3->PC2,0.260058158,0.004943503,0.4375,0.009776536
