models,Source->Target,AUC,P,R,F1
SM2,jedit-4.0->xalan-2.7,0.478791253,0.984931507,0.800668151,0.883292383
SM2,log4j-1.2->xalan-2.7,0.206013363,0.986453202,0.891982183,0.936842105
SM2,lucene-2.4->xalan-2.7,0.693207127,0.996183206,0.581291759,0.734177215
SM2,poi-3.0->xalan-2.7,0.465833165,0.989983306,0.660356347,0.792251169
SM2,prop-6->xalan-2.7,0.422909496,1,0.083518931,0.154162384
SM2,tomcat->xalan-2.7,0.512249443,0.986873508,0.920935412,0.952764977
SM3,camel-1.6->ant-1.7,0.548738997,0.483516484,0.265060241,0.342412451
SM3,ivy-2.0->ant-1.7,0.253844393,0.208913649,0.903614458,0.339366516
SM3,jedit-4.0->ant-1.7,0.708694883,0.379432624,0.644578313,0.477678571
SM3,log4j-1.2->ant-1.7,0.650274674,0.176470588,0.018072289,0.032786885
SM3,lucene-2.4->ant-1.7,0.364832387,0.086466165,0.138554217,0.106481481
SM3,poi-3.0->ant-1.7,0.333505004,0.07063197,0.114457831,0.087356322
SM3,prop-6->ant-1.7,0.385453732,0.20505618,0.879518072,0.332574032
SM3,tomcat->ant-1.7,0.523368084,0.625,0.301204819,0.406504065
SM3,xalan-2.7->ant-1.7,0.487561646,0,0,
SM3,ant-1.7->camel-1.6,0.549984255,0.245210728,0.340425532,0.285077951
SM3,ivy-2.0->camel-1.6,0.420250418,0.186623517,0.920212766,0.310313901
SM3,jedit-4.0->camel-1.6,0.589604042,0.266467066,0.473404255,0.340996169
SM3,log4j-1.2->camel-1.6,0.560636244,0.181818182,0.031914894,0.054298643
SM3,lucene-2.4->camel-1.6,0.390574085,0.112798265,0.276595745,0.160246533
SM3,poi-3.0->camel-1.6,0.436245516,0.145833333,0.29787234,0.195804196
SM3,prop-6->camel-1.6,0.448064706,0.187833511,0.936170213,0.312888889
SM3,tomcat->camel-1.6,0.515717846,0.375,0.143617021,0.207692308
SM3,xalan-2.7->camel-1.6,0.487129987,,0,
SM3,ant-1.7->ivy-2.0,0.263902244,0.045454545,0.3,0.078947368
SM3,camel-1.6->ivy-2.0,0.346113782,0.08361204,0.625,0.147492625
SM3,jedit-4.0->ivy-2.0,0.326923077,0.069672131,0.425,0.11971831
SM3,log4j-1.2->ivy-2.0,0.361338141,0.114906832,0.925,0.20441989
SM3,lucene-2.4->ivy-2.0,0.482692308,0.118773946,0.775,0.205980066
SM3,poi-3.0->ivy-2.0,0.584655449,0.143497758,0.8,0.243346008
SM3,prop-6->ivy-2.0,0.576482372,0.375,0.075,0.125
SM3,tomcat->ivy-2.0,0.522475962,0.097345133,0.825,0.17414248
SM3,xalan-2.7->ivy-2.0,0.503205128,0.113960114,1,0.204603581
SM3,ant-1.7->jedit-4.0,0.584790765,0.46969697,0.413333333,0.439716312
SM3,camel-1.6->jedit-4.0,0.506002886,0.395833333,0.253333333,0.308943089
SM3,ivy-2.0->jedit-4.0,0.352323232,0.225255973,0.88,0.358695652
SM3,log4j-1.2->jedit-4.0,0.584011544,0.055555556,0.026666667,0.036036036
SM3,lucene-2.4->jedit-4.0,0.36987013,0.173913043,0.266666667,0.210526316
SM3,poi-3.0->jedit-4.0,0.42961039,0.165217391,0.253333333,0.2
SM3,prop-6->jedit-4.0,0.485137085,0.240802676,0.96,0.385026738
SM3,tomcat->jedit-4.0,0.609062049,0.714285714,0.333333333,0.454545455
SM3,xalan-2.7->jedit-4.0,0.474487734,0,0,
SM3,ant-1.7->log4j-1.2,0.387731481,0.911564626,0.708994709,0.797619048
SM3,camel-1.6->log4j-1.2,0.429232804,0.912280702,0.825396825,0.866666667
SM3,ivy-2.0->log4j-1.2,0.500330688,0.833333333,0.026455026,0.051282051
SM3,jedit-4.0->log4j-1.2,0.538690476,0.919708029,0.666666667,0.773006135
SM3,lucene-2.4->log4j-1.2,0.420634921,0.925619835,0.592592593,0.722580645
SM3,poi-3.0->log4j-1.2,0.547784392,0.919117647,0.661375661,0.769230769
SM3,prop-6->log4j-1.2,0.519345238,0.888888889,0.042328042,0.080808081
SM3,tomcat->log4j-1.2,0.440145503,0.914893617,0.91005291,0.912466844
SM3,xalan-2.7->log4j-1.2,0.497354497,0.921568627,0.994708995,0.956743003
SM3,ant-1.7->lucene-2.4,0.456761713,0.545454545,0.709359606,0.616702355
SM3,camel-1.6->lucene-2.4,0.484484556,0.571917808,0.822660099,0.674747475
SM3,ivy-2.0->lucene-2.4,0.583492143,0.846153846,0.054187192,0.101851852
SM3,jedit-4.0->lucene-2.4,0.440059689,0.561320755,0.586206897,0.573493976
SM3,log4j-1.2->lucene-2.4,0.389558089,0.609230769,0.975369458,0.75
SM3,poi-3.0->lucene-2.4,0.640160368,0.715686275,0.719211823,0.717444717
SM3,prop-6->lucene-2.4,0.553090504,0.894736842,0.083743842,0.153153153
SM3,tomcat->lucene-2.4,0.501348387,0.586319218,0.886699507,0.705882353
SM3,xalan-2.7->lucene-2.4,0.518445939,0.608562691,0.980295567,0.750943396
SM3,ant-1.7->poi-3.0,0.447801773,0.566371681,0.683274021,0.619354839
SM3,camel-1.6->poi-3.0,0.571262793,0.614795918,0.857651246,0.716196137
SM3,ivy-2.0->poi-3.0,0.596240136,1,0.060498221,0.11409396
SM3,jedit-4.0->poi-3.0,0.423973829,0.557432432,0.587188612,0.571923744
SM3,log4j-1.2->poi-3.0,0.334641144,0.643705463,0.964412811,0.772079772
SM3,lucene-2.4->poi-3.0,0.762461042,0.786184211,0.850533808,0.817094017
SM3,prop-6->poi-3.0,0.579253332,0.958333333,0.081850534,0.150819672
SM3,tomcat->poi-3.0,0.538217546,0.622276029,0.914590747,0.740634006
SM3,xalan-2.7->poi-3.0,0.507581618,0.637188209,1,0.778393352
SM3,ant-1.7->prop-6,0.344990307,0.059574468,0.424242424,0.104477612
SM3,camel-1.6->prop-6,0.555109173,0.098039216,0.833333333,0.175438596
SM3,ivy-2.0->prop-6,0.647242628,0.170731707,0.106060606,0.130841121
SM3,jedit-4.0->prop-6,0.385317825,0.067757009,0.439393939,0.117408907
SM3,log4j-1.2->prop-6,0.41429446,0.101426307,0.96969697,0.183644189
SM3,lucene-2.4->prop-6,0.441077441,0.103578154,0.833333333,0.184254606
SM3,poi-3.0->prop-6,0.611952862,0.118421053,0.818181818,0.206896552
SM3,tomcat->prop-6,0.501760024,0.086587436,0.772727273,0.155725191
SM3,xalan-2.7->prop-6,0.505892256,0.1,1,0.181818182
SM3,ant-1.7->tomcat,0.709662936,0.267379679,0.649350649,0.378787879
SM3,camel-1.6->tomcat,0.629446098,0.257142857,0.467532468,0.331797235
SM3,ivy-2.0->tomcat,0.255549828,0.067817509,0.714285714,0.123873874
SM3,jedit-4.0->tomcat,0.671125929,0.214285714,0.545454545,0.307692308
SM3,log4j-1.2->tomcat,0.5,,0,
SM3,lucene-2.4->tomcat,0.281773284,0.036144578,0.194805195,0.06097561
SM3,poi-3.0->tomcat,0.306117698,0.021428571,0.116883117,0.036217304
SM3,prop-6->tomcat,0.431132248,0.084826762,0.922077922,0.15536105
SM3,xalan-2.7->tomcat,0.497439181,,0,
SM3,ant-1.7->xalan-2.7,0.45545657,0.984195402,0.762806236,0.859473024
SM3,camel-1.6->xalan-2.7,0.289532294,0.986058302,0.86636971,0.922347362
SM3,ivy-2.0->xalan-2.7,0.609688196,1,0.030066815,0.058378378
SM3,jedit-4.0->xalan-2.7,0.457126949,0.98470948,0.71714922,0.829896907
SM3,log4j-1.2->xalan-2.7,0.247772829,0.987043581,0.933184855,0.959358901
SM3,lucene-2.4->xalan-2.7,0.3735574,0.985781991,0.694877506,0.815153494
SM3,poi-3.0->xalan-2.7,0.840554768,1,0.682628062,0.81138319
SM3,prop-6->xalan-2.7,0.541202673,1,0.027839644,0.054171181
SM3,tomcat->xalan-2.7,0.473881353,0.986284289,0.880846325,0.930588235
SM4,camel-1.6->ant-1.7,0.588036082,0.288659794,0.168674699,0.212927757
SM4,ivy-2.0->ant-1.7,0.217757039,0.196022727,0.831325301,0.317241379
SM4,jedit-4.0->ant-1.7,0.745989138,0.417525773,0.487951807,0.45
SM4,log4j-1.2->ant-1.7,0.411568554,0,0,
SM4,lucene-2.4->ant-1.7,0.267312774,0.12345679,0.180722892,0.146699267
SM4,poi-3.0->ant-1.7,0.298588135,0.078291815,0.13253012,0.098434004
SM4,prop-6->ant-1.7,0.244204798,0.202777778,0.879518072,0.329571106
SM4,tomcat->ant-1.7,0.731750838,0.487804878,0.120481928,0.193236715
SM4,xalan-2.7->ant-1.7,0.468131594,,0,
SM4,ant-1.7->camel-1.6,0.55884608,0.207920792,0.111702128,0.14532872
SM4,ivy-2.0->camel-1.6,0.404693447,0.195095949,0.973404255,0.325044405
SM4,jedit-4.0->camel-1.6,0.623524741,0.335820896,0.239361702,0.279503106
